index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
2963,"$10,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Not Specified,Cash grants,The Ronald and Jane Olson Foundation,"Los Angeles, CA United States",Western Iowa Journalism Foundation,"Breda, IA United States",CHARITABLE PURPOSE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2964,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adolescents; Students,Program support,Cash grants,The Ronald P and Susan E Lynch Foundation C/o Milton Kain,"New York City, NY United States",Windward School,"Los Angeles, CA United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2965,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,The Ronald P and Susan E Lynch Foundation C/o Milton Kain,"New York City, NY United States",Hillsborough Auxiliary to Peninsula Family Service,"Burlingame, CA United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2966,"$10,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,The Ryan Foundation Inc,"Dallas, TX United States",National Review Institute,"New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2967,"$10,000",2021,,1 year,,"Media Content and Platforms; Television; Radio; Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Samuel Rubin Foundation Inc C/o Loring Wolcott & Coolidge,"Boston, MA United States",Democracy Now Productions Inc,"New York City, NY United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2968,"$10,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Citizen journalism",Not Specified,General support,Cash grants,The Sassafras Foundation,"Branford, CT United States",Online Journalism Project Incorporated,"New Haven, CT United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2969,"$10,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,"Policy, advocacy and systems reform; Research; Capacity-building and technical assistance; Program support",Cash grants,The Seaver Endowment,"Sierra Madre, CA United States",National Review Institute,"New York City, NY United States",TO DEVELOP AND SUPPORT CONSERVATISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2970,"$10,000",2021,,1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Adults; Researchers; Activists,General support,Cash grants,The Snider Foundation,"Bryn Mawr, PA United States",REPORTERS COMMITTEE FOR FREEDOM OF THE PRESS,"Washington, DC United States",OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2971,"$10,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Not Specified,Cash grants,The Snider Foundation,"Bryn Mawr, PA United States",FOOD AND ENVIRONMENT REPORTING NETWORK,"New York City, NY United States",ANIMAL AGRICULTURE REPORTING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
2972,"$10,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Advocacy; Public engagement and education; Program support,Cash grants,The William C and Cindy L Scott Foundation,"New York City, NY United States",Media Research Center Inc,"Reston, VA United States",SUPPORT TO EXPOSE AND NEUTRALIZE THE PROPAGANDA ARM OF THE LEFT: THE NATIONAL NEWS MEDIA.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
