index,amount,year,area,duration,title,subject,population,strategy,transaction,funder,funder_addr,recipient,recipient_addr,description,source
263,"$419,500",2021,,1 year,,"Journalism, news and information; Investigative journalism",Academics,Program support,Cash grants,Jonathan Logan Family Foundation,"Berkeley, CA United States",Temple University,"Philadelphia, PA United States",FOR THE CREATION OF THE JONTHAN LOGAN CENTER FOR URBAN INVESTIGATIVE REPORTING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
264,"$416,332",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Adults; Ethnic and racial groups,Earned income; Public engagement and education; Program support,Cash grants,American Journalism Project Inc,"Washington, DC United States",CITY BUREAU NFP,"Chicago, IL United States",TO GROW AND DIVERSIFY REVENUE AND TO ADVANCE TOWARD A SUSTAINABLE MODEL FOR LOCAL NEWS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
265,"$413,178",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,ACDI/VOCA,"Washington, DC United States",Multiple South America Recipients,,FABIOLA MORERA COMMUNICATIONS WILL BE IN CHARGE OF THE IMPLEMENTATION OF ALL,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
266,"$410,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,CRAIG NEWMARK GRADUATE SCHOOL OF JOURNALISM CUNY FOUNDATION INC,"New York City, NY United States",Hacks Hackers,"Washington, DC United States",SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
267,"$408,859",2021,,1 year,,"Media Content and Platforms; Television; Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Adults; Children and youth; At-risk youth; Economically disadvantaged people,Not Specified,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",LV PUBLIC TELECOMMUNICATIONS CORP. WLVT-TV CHANNEL 39,"Bethlehem, PA United States",TVFSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
268,"$406,720",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Ethnic and racial groups; Low-income people; Students,Fiscal sponsorships,Cash grants,Institute for Nonprofit News,"Beverly Hills, CA United States",Civic News Company,"New York City, NY United States",ORGANIZATION IS A FISCAL SPONSOR,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
269,"$406,350",2021,,1 year,,"Journalism, news and information; Constituency journalism",Ethnic and racial groups,"Recordings and broadcasts; Public engagement and education; Policy, advocacy and systems reform; Program support",Cash grants,ROSE COMMUNITY FOUNDATION,"Denver, CO United States",Colorado News Collaborative,"Denver, CO United States","Addressing News Deserts, News Voices, Spanish-Language News Collaboration",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
270,"$405,500",2021,,1 year,,"Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,Not Specified,Cash grants,Vanguard Charitable,"Malvern, PA United States","The GroundTruth Project, Inc.","Boston, MA United States",FOR RECIPIENT'S EXEM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
271,"$401,050",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,National Philanthropic Trust,"Jenkintown, PA United States","National Public Radio, Inc.","Washington, DC United States",CULTURE & ARTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
272,"$400,000",2021,Democracy,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Bernard and Anne Spitzer Charitable Trust,"New York City, NY United States",Institute for Nonprofit News,"Beverly Hills, CA United States",general operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
273,"$400,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Financial sustainability; Program support; Public engagement and education,Cash grants,Democracy Fund Inc,"Washington, DC United States",North Carolina Community Foundation,"Raleigh, NC United States",Program support for the Local News Lab Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
274,"$400,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; Public engagement and education,Cash grants,Democracy Fund Inc,"Washington, DC United States",Santa Fe Community Foundation,"Santa Fe, NM United States",Program support for the New Mexico Local News Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
275,"$400,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Ethnic and racial groups; Work status and occupations,General support,Cash grants,Donors Trust Inc,"Alexandria, VA United States",Daily Caller News Foundation,"Washington, DC United States",for general operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
276,"$400,000",2021,Human Rights Initiative,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Gulf Center for Human Rights,"Beirut, Lebanon",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
277,"$400,000",2021,Economic Justice Program,3 months,,"Media access and policy; Open government; Journalism, news and information; Citizen journalism",Not Specified,General support,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Plateforme De Protection Des Lanceurs D'alerte En Afrique,"Paris, France",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
278,"$400,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,Advocacy; Ethics and accountability; Systems reform,Cash grants,Jerome L Greene Foundation,"New York City, NY United States","PRO Publica, Inc.","New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
279,"$400,000",2021,,1 year,,"Media access and policy; Media justice; Media literacy; Journalism, news and information; Constituency journalism",Adults; Ethnic and racial groups; Extremely poor people; Women and girls; Indigenous peoples; Low-income people,General support,Cash grants,Luminate Foundation Inc,"Washington, DC United States",Global Press Institute,"Washington, DC United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
280,"$400,000",2021,Information Program,2 years,,"Journalism, news and information; Journalism, news, and information, general",Academics,General support; Advocacy; Program support,Cash grants,Open Society Foundation,"New York City, NY United States",Regents of the University of California at Berkeley,"Berkeley, CA United States",to provide core support to the Human Rights Center,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
281,"$400,000",2021,,2 years,Supporting Capital B in producing service journalism to fill the information needs of Black citizens in areas where they are underserved by local news,"Journalism, news and information; Investigative journalism",Ethnic and racial groups; Low-income people,Program support; Public engagement and education,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States",Capital B News Inc,"New York City, NY United States",To support the launch of a first-of-its-kind nonprofit local and national news organization that reaches underserved Black communities with critical reporting that combats misinformation and advances health equity.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
282,"$400,000",2021,Media & Communications,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Adults,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",The Center for Investigative Reporting,"Emeryville, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
283,"$400,000",2021,"Censorship, Freedom Of Speech & Press",1 year,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States","Committee to Protect Journalists, Inc.","New York City, NY United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
284,"$400,000",2021,Voter Education & Registration,1 year,,"Journalism, news and information; Journalism, news, and information, general",Age groups; Ethnic and racial groups,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",CalMatters,"Sacramento, CA United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
285,"$400,000",2021,Education,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Silicon Valley Community Foundation,"Mountain View, CA United States",TEXAS TRIBUNE INC,"Austin, TX United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
286,"$400,000",2021,Creativity and Free Expression,3 years,,"Journalism, news and information; Journalism, news, and information, general",American Indians,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Native American Journalists Association,"Norman, OK United States","General support for professional association advocacy for Native American journalists, and for work on freedom of the press and tribally-owned media",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
287,"$400,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Children and youth; Academics; Adults,Public engagement and education; Program support,Cash grants,The Helen Gurley Brown Foundation,"New York City, NY United States",STANFORD UNIVERSITY,"Stanford, CA United States","BROWN INSTITUTE FOR MEDIA INNOVATION IMPACT GRANT 2021 FUNDPURPOSE: TO SUPPORT TWO PROJECTS, ""BIG LOCAL NEWS DATA-PLUS AND ""KRYSTL"", TO PROVIDE A VITAL RESOURCE FOR LOCAL JOURNALISM AND PERSONALIZED ANALYSIS BASED ON THEIR ON-SCREEN BEHAVIOR.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
288,"$400,000",2021,Media,2 years,2021 - Southern CA Public Radio - KPCC - Media,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Adults,Recordings and broadcasts; Public engagement and education; Program support,Cash grants,The James Irvine Foundation,"San Francisco, CA United States",SOUTHERN CALIFORNIA PUBLIC RADIO,"Pasadena, CA United States","To support community engagement in journalism on economic security and advancement, and a deeper reach in underserved communities.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
289,"$400,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Constituency journalism",Not Specified,Online media; Program support,Cash grants,The Lillian Holofcener Charitable Foundation Inc,"Owings Mills, MD United States",Baltimore Beat Inc,"Baltimore, MD United States",NONPROFIT NEWSPAPER AND ONLINE MEDIA OUTLET,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
290,"$400,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,The Marisla Foundation,"Laguna Beach, CA United States","PRO Publica, Inc.","New York City, NY United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
291,"$400,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Program support,Cash grants,The Ronald P and Susan E Lynch Foundation C/o Milton Kain,"New York City, NY United States",Cornell University,"Ithaca, NY United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
292,"$400,000",2021,Employment Equity,2 years and 6 months,Spotlight on Poverty and Opportunity,"Journalism, news and information; Constituency journalism",Not Specified,Equal access; Program support,Cash grants,W.K. Kellogg Foundation,"Battle Creek, MI United States",New Venture Fund,"Washington, DC United States",shift narratives and promote equitable and greater opportunity for people impacted by poverty through elevating their stories and highlighting bipartisan solutions and through building capacity of nonprofit media outlets in the south in partnership with national news outlets,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
293,"$398,540",2021,,1 year,,"Journalism, news and information; Investigative journalism",Ex-offenders; Offenders,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",MARSHALL PROJECT INC,"New York City, NY United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
294,"$393,398",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Telecommunications infrastructure; Telecommunications Infrastructure, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",Georgia Public Telecommunications Commission,"Atlanta, GA United States",RFSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
295,"$390,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Ethnic and racial groups; Economically disadvantaged people; Immigrants and migrants,Earned income; Public engagement and education; Program support,Cash grants,American Journalism Project Inc,"Washington, DC United States",Cityside Journalism Initiative,"Berkeley, CA United States",TO GROW AND DIVERSIFY REVENUE AND TO ADVANCE TOWARD A SUSTAINABLE MODEL FOR LOCAL NEWS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
296,"$390,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media justice; Open government; Journalism, news and information; Journalism, news, and information, general",Adults,Earned income; Public engagement and education; Program support,Cash grants,American Journalism Project Inc,"Washington, DC United States",Beacon Media Inc,"Kansas City, MO United States",TO GROW AND DIVERSIFY REVENUE AND TO ADVANCE TOWARD A SUSTAINABLE MODEL FOR LOCAL NEWS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
297,"$390,000",2021,,1 year,,"Journalism, news and information; Investigative journalism; Advocacy journalism",Academics,Fellowships; General support,Cash grants,Sarah Scaife Foundation Incorporated,"Pittsburgh, PA United States",Collegiate Network Inc,"Wilmington, DE United States",GENERAL OPERATING SUPPORT AND JOURNALISM FELLOWSHIPS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
298,"$387,500",2021,,1 year,,"Media Content and Platforms; Television; Media access and policy; Media literacy; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups; Adults; Children and youth; At-risk youth; Economically disadvantaged people,Not Specified,Cash grants,Neubauer Family Charitable Trust C/o Silicon Valley Community Foundation,"Mountain View, CA United States",LV PUBLIC TELECOMMUNICATIONS CORP. WLVT-TV CHANNEL 39,"Bethlehem, PA United States",ARTS & CULTURE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
299,"$380,000",2021,"Global Drug Policy Program, Latin America Program",1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Fundacion Gabo,"Cartagena, Colombia",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
300,"$378,954",2021,,1 year,,"Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,Not Specified,Cash grants,The Joyce Foundation,"Chicago, IL United States","The GroundTruth Project, Inc.","Boston, MA United States",Mission Fund,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
301,"$375,642",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,The Blackbaud Giving Fund,"Daniel Island, SC United States",PULITZER CENTER ON CRISIS REPORTING,"Washington, DC United States",GENERAL SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
302,"$375,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Not Specified,Research and evaluation; Online media; Information technology; Program support,Cash grants,Alfred P. Sloan Foundation,"New York City, NY United States",Association for Computing Machinery Harvard University Aiken Lab,"Cambridge, MA United States",TO DEVELOP AN OPEN-SOURCE LIBRARY OF TOOLS FOR ENABLING PRIVACY-PROTECTIVE DATA ANALYSIS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
303,"$375,000",2021,,1 year,,"Journalism, news and information; Advocacy journalism",Not Specified,Fellowships; Outreach,Cash grants,California Physicians' Service Foundation DBA Blue Shield of California Foundation,"San Francisco, CA United States",American Pharmacists Association Academy of Student Pharmacists,"Los Angeles, CA United States",CALIFORNIA HEALTH JOURNALISM FELLOWSHIPS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
304,"$375,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,Donors Trust Inc,"Alexandria, VA United States",American Governance Foundation Inc,"San Francisco, CA United States",for general operations,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
305,"$375,000",2021,,3 months,,"Telecommunications infrastructure; Internet access; Media access and policy; Media democracy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Low-income people,General support,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Free Press,"Washington, DC United States",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
306,"$375,000",2021,,1 year,Using COVID Tracking Project learnings to inform future pandemic response while enhancing journalism to increase public understanding of the crisis,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Robert Wood Johnson Foundation,"Princeton, NJ United States","The Atlantic Monthly Group, LLC","Washington, DC United States",Not Specified,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
307,"$374,850",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Jewish people; Adults; Parents,Not Specified,Cash grants,National Philanthropic Trust,"Jenkintown, PA United States",70 Faces Media,"New York City, NY United States",CULTURE & ARTS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
308,"$374,419",2021,,1 year,,"Media Content and Platforms; Television; Radio; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Families,Not Specified,Cash grants,Corporation for Public Broadcasting,"Washington, DC United States",NORTH TEXAS PUBLIC BROADCASTING INC,"Dallas, TX United States",RFSG,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
309,"$374,000",2021,Culture and Art,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Foundation to Promote Open Society,"New York City, NY United States",Magnum Cultural Foundation,"New York City, NY United States",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
310,"$371,666",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Journalism, news, and information, general",Adults,Earned income; Public engagement and education; Program support,Cash grants,American Journalism Project Inc,"Washington, DC United States",Deep South Today,"Ridgeland, MS United States",TO GROW AND DIVERSIFY REVENUE AND TO ADVANCE TOWARD A SUSTAINABLE MODEL FOR LOCAL NEWS.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
311,"$368,670",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",Mesorah Heritage Foundation,"Rahway, NJ United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
312,"$366,600",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth,Not Specified,Cash grants,John Templeton Foundation,"Conshohocken, PA United States","National Public Radio, Inc.","Washington, DC United States",CHARITABLE ACTIVITIES OF THE ORGANIZATION,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
313,"$366,041",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support,Cash grants,Schwab Charitable Fund,"Lone Tree, CO United States",COMMITTEE FOR ACCURACY IN MIDDLE EAST REPORTING IN AMERICA INC,"Boston, MA United States","INTERNATIONAL, FOREIGN AFFAIRS",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
314,"$360,211",2021,Gender Equality|Global Policy and Advocacy,1 year,Wole Soyinka Centre For Investigative Journalism,"Journalism, news and information; Investigative journalism",Women and girls,Advocacy; Equal access; Program support; Public engagement and education; Systems reform,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",Wole Soyinka Centre for Investigative Journalism,"Lagos, Nicaragua",to engage the management and staff of select news media organizations on the benefits of increasing the representation of women in their coverage and newsroom leadership,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
315,"$355,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Ex-offenders; Offenders,Faculty and staff development,Cash grants,Abrams Foundation Inc,"Boston, MA United States",MARSHALL PROJECT INC,"New York City, NY United States",FUNDING NEW SENIOR DATA JOURNALIST AND STAFF WRITER POSITIONS,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
316,"$355,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,Program support; Public engagement and education,Cash grants,Walton Family Foundation,"Bentonville, AR United States",Associated Press,"New York City, NY United States",To support environmental journalism at the Associated Press.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
317,"$354,000",2021,,1 year,,"Media Content and Platforms; Radio; Journalism, news and information; Journalism, news, and information, general",Not Specified,Not Specified,Cash grants,Goldman Sachs Philanthropy Fund,"New York City, NY United States",Colorado Public Radio,"Centennial, CO United States",ARTS AND CULTURE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
318,"$350,100",2021,,1 year,,"Journalism, news and information; Journalism education",Academics; Ethnic and racial groups,Not Specified,Cash grants,Fidelity Investments Charitable Gift Fund,"Boston, MA United States",ROBERT C MAYNARD INSTITUTE FOR JOURNALISM EDUCATION,"Oakland, CA United States",For grant recipient's exempt purposes,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
319,"$350,000",2021,,1 year,,"Media Content and Platforms; Web-based media; Journalism, news and information; Advocacy journalism",Not Specified,General support,Cash grants,Amalgamated Charitable Foundation Inc,"Washington, DC United States","Grist Magazine, Inc.","Seattle, WA United States",General operating support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
320,"$350,000",2021,U.S. Program,1 year,The 19th News,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Journalism, news, and information, general",Adults; Sexual identity,Program support; Public engagement and education,Cash grants,BILL & MELINDA GATES FOUNDATION,"Seattle, WA United States",The 19th News,"Austin, TX United States",to support coverage at the intersection of gender and education,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
321,"$350,000",2021,Education,2 years,Editorial Projects in Education,"Telecommunications infrastructure; Telecommunications; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Students,Online media; Program support; Public engagement and education; Research and evaluation; Systems reform,Cash grants,CHARLES STEWART MOTT FOUNDATION,"Flint, MI United States",EDITORIAL PROJECTS IN EDUCATION INC,"Bethesda, MD United States","This grant will provide support to Education Week, an Editorial Projects in Education initiative, to expand media attention and coverage around the evolving policy landscape and the intersection of the afterschool field within the education ecosystem. The data-driven initiative will bring increased awareness to out-of-school time issues as well as the impacts of afterschool and summer learning by highlighting program innovations, creative school and community-based partnerships and key supports needed to help young people thrive socially and emotionally in academic settings to recover from the impacts of the pandemic. Editorial content will be shared through a multimedia strategy including print, web, social, live forums and other platforms.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
322,"$350,000",2021,,1 year,,"Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Adults; Children and youth; Ethnic and racial groups,General support,Cash grants,Democracy Fund Inc,"Washington, DC United States",ISSUE ONE,"Washington, DC United States",General support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
323,"$350,000",2021,Journalism and Media,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Media access and policy; Media access and policy, general; Journalism, news and information; Journalism, news, and information, general",Ethnic and racial groups,Program support,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",New Venture Fund,"Washington, DC United States","In support of the Media Democracy Fund’s project, the Disinfo Defense League.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
324,"$350,000",2021,Journalism and Media,2 years,,"Media access and policy; Freedom of Expression/First Amendment; Journalism, news and information; Journalism, news, and information, general",Women and girls,General support,Cash grants,John D. and Catherine T. MacArthur Foundation,"Chicago, IL United States",International Women's Media Foundation,"Washington, DC United States",In support of general operations.,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
325,"$350,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Academics,Data and measurement systems; Program support,Cash grants,Mastercard Impact Fund,"Purchase, NY United States",Columbia University - School of the Arts,"New York City, NY United States",IMPACT DATA SCIENCE,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
326,"$350,000",2021,,1 year,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Not Specified,Program support,Cash grants,Natem Foundation Inc,"Houston, TX United States",TIDES FOUNDATION,"San Francisco, CA United States",SUPPORT INDEPENDENT PUBLISHER OF SOLUTIONS JOURNALISM,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
327,"$350,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Adults,Program support,Cash grants,Northlight Foundation Inc,"New York City, NY United States",Alaska Wilderness League,"Washington, DC United States",SUPPORT ORGANIZATION'S PROGRAMS & ACTIVITIES,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
328,"$350,000",2021,Independent Journalism Program,1 year,,"Media access and policy; Media democracy; Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Open Society Foundation,"New York City, NY United States",Gisa Inc,"New York City, NY United States",to provide general support,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
329,"$350,000",2021,,1 year,,"Journalism, news and information; Journalism, news, and information, general",Not Specified,General support,Cash grants,Sarah Scaife Foundation Incorporated,"Pittsburgh, PA United States",Franklin News Foundation,"Chicago, IL United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
330,"$350,000",2021,,1 year,,"Media access and policy; Media justice; Media literacy; Journalism, news and information; Constituency journalism",Adults; Ethnic and racial groups; Extremely poor people; Women and girls; Indigenous peoples; Low-income people,General support,Cash grants,Skyline Foundation,"San Francisco, CA United States",Global Press Institute,"Washington, DC United States",GENERAL OPERATING SUPPORT,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
331,"$350,000",2021,Creativity and Free Expression,2 years,,"Journalism, news and information; Journalism, news, and information, general",Adults; Economically disadvantaged people; Immigrants and migrants; Ethnic and racial groups; Children and youth,General support,Cash grants,The Ford Foundation,"New York City, NY United States","The GroundTruth Project, Inc.","Boston, MA United States",Core support for the Rebuild Local News Coalition to support public funding options for local newspapers,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
332,"$350,000",2021,Creativity and Free Expression,2 years,,"Journalism, news and information; Journalism, news, and information, general",Immigrants; People of Latin American descent,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Radio Ambulante Studios Inc,"New York City, NY United States",General support for a Spanish-language podcast using long-form audio journalism to tell neglected and under-reported Latin American and Latino stories for distribution by National Public Radio,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
333,"$350,000",2021,Future of Work(ers),2 years,,"Media Content and Platforms; Media Content and Platforms, General; Journalism, news and information; Investigative journalism",Women and girls; Low-income people; Transgender people,General support,Cash grants,The Ford Foundation,"New York City, NY United States","Rockefeller Philanthropy Advisors, Inc.","New York City, NY United States","Core support for International Resource for Impact and Storytelling (IRIS), an external donor collaborative supporting a global-south moving-image storytelling network, narrative analysis and shared learning space, to support the Future of Work program.",http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
334,"$350,000",2021,Creativity and Free Expression,2 years,,"Journalism, news and information; Investigative journalism",Not Specified,General support,Cash grants,The Ford Foundation,"New York City, NY United States",Center for Public Integrity,"Washington, DC United States",General support to protect democracy and inspire change through investigative reporting,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
335,"$350,000",2021,,1 year,,"Journalism, news and information; Investigative journalism",Adults; Students,Public engagement and education,Cash grants,The Leona M and Harry B Helmsley Charitable Trust,"New York City, NY United States",Center for Excellence in Health Care Journalism,"Columbia, MO United States",TRAINING AND DEVELOPMENT OF HEALTH CARE JOURNALISTS AND REPORTING,http://foundationcenter.org/gain-knowledge/foundation-data/data-sources/
